Original Text,Translated Text
"Onderzoek van Harvard stelt dat dutjes slecht zijn voor je hart, wat zeggen experts bij ons daarover?","Harvard research says naps are bad for your heart, what do experts say about that?"
OPROEP. Wil jij gezonder eten en je ervaringen delen?,OCALL. Do you want to eat healthier and share your experiences?
"De Roze Mars laat je in mei niet alleen ‘lekker’, maar ook ‘gekker’ stappen","The Pink Mars not only lets you walk in May, but also lets you walk out of here."
"Onze vrouw test nieuwe hype op Tiktok, de ‘Hot Girl Walk’, uit: “Misschien is het toch niet zo onnozel als ik dacht”","Our wife is testing new hype on Tiktok, the ""Hot Girl Walk"" from: ""Maybe it's not as silly as I thought it was."""
"“Ik heb het gevoel dat mijn moeder veel rust heeft ervaren, ook al was ze 16 toen ze haar eerste kind kreeg”","I feel like my mother had a lot of rest, even though she was 16 when she had her first child."
Sofie Dumont koestert haar lichaam: “Ik ben niet bezig met diëten. Ik heb liever een maatje meer en dikkere borsten”,Sofie Dumont cherishes her body: I am not dieting. I'd rather have a buddy more and thicker boobs.
Van extra uurtjes slaap tot ‘vogeldate’: dit willen mama’s écht graag voor Moederdag,From extra hours of sleep to bird date: this is what Mommy really wants for Mother's Day
Drie mama’s (to be) over de relatie met hun borsten: “Net nú wil ik naakt gaan. Voor mijn dochter”,Three mommies (to be) about the relationship with their breasts: now I want to go naked. For my daughter.
"Isolde Lasoen over wat haar raakt: “Als ik Frank Deboosere uitgezwaaid zie worden, schiet ik vol”","Isolde Lasoen about what hits her:..If I see Frank Deboosere waved out, I'll shoot full.........................................................................................................................................."
"Studie claimt dat grootouders langs moederskant meer verwennen, wat zegt de pedagoge daarover?","Study claims that grandparents on mother's side are more spoiled, what does the pedagogue say about that?"
Evi Hanssen: “Hoezo zou ik mails over Moederdag willen vermijden omdat het gevoelig ligt? Ik ben een groot meisje”,"Evi Hanssen: ""How would I like to avoid e-mails about Mother's Day because it is sensitive? I'm a big girl. I'm a big girl."
Geena Lisa traint zichzelf in de levenskunst: “Ik ben blij dat ik me jaren geleden liet bijscholen”,Geena Lisa trains herself in the art of life: I'm glad I was educated years ago.
Evi wil weer zonder complexen een bikini aan: “In mijn hoofd kan dat enkel als de weegschaal een bepaald cijfer aangeeft”,"Evi wants to wear a bikini again without complexes: In my head, this can only be done if the scale indicates a certain number."
"In gesprek met de nieuwe weervrouw Jacotte Brokken: “Mocht het een vacature geweest zijn, had ik nooit gesolliciteerd”","In conversation with the new weatherwoman Jacotte Brokken:.. If it had been a vacancy, I would never have applied.................................................................................................................................................................................."
Sterrenchefs Caroline Baerten en Nicolas Decloedt van Humus x Hortense: “In de winter zal je bij ons geen tomaten op het menu vinden”,Star chefs Caroline Baerten and Nicolas Decloedt from Humus x Hortense: In winter you won't find any tomatoes on the menu.
Na zeven jaar is Natalia terug met nieuw album: “Ik had Bart Peeters om raad gevraagd en ineens verraste hij me met drie nummers”,After seven years Natalia is back with new album: I had asked Bart Peeters for advice and suddenly he surprised me with three songs.
Evi Hanssen: “De 10.000 stappen van De Roze Mars zijn niet enkel op fysiek vlak belangrijk”,"Evi Hanssen: ""The 10,000 steps of De Pink Mars are not only important in physical terms."""
Waarom je kind in de hoek zetten als straf niet zo’n goed idee is: “Geeft het signaal dat nabijheid van ouders niet gratis is”,"Why put your child in the corner when punishment isn't such a good idea: ""Gives the signal that proximity to parents isn't free."""
(Oorlogs)journaliste Joanie de Rijke: “Ik gun het de angst niet om me te weerhouden mijn werk te doen”,(War) Journalist Joanie de Rijke: I don't like the fear of keeping me from doing my job.
Ann Ceurvels: “Als mensen mij vragen wat als eerste opkomt als ik terugkijk naar mijn carrière als actrice? Eenzaamheid”,Ann Ceurvels: When people ask me what comes first when I look back at my career as an actress? Loneliness! Lonely! Lonely! Lonely! Lonely! Lonely! Lonely! Lonely! Lonely! Lonely! Lonely! Lonely! Lonely! Lonely! Lonely!
OPROEP. Schoof jij je carrière opzij voor je partner of gezin?,OCALL. Are you kicking aside your career for your partner or family?
"Man die dakloze doodde in New Yorkse metro, kan 15 jaar cel krijgen",Guy who killed homeless people in New York subway could get 15 years in jail.
Annemie Struyf blikt terug op haar jeugd: “Laten we de kunst van het verlangen niet verleren”,Annemie Struyf looks back on her youth:.. Let's not learn the art of desire................................................................................................................
"Tine Embrechts: “Ik heb de impact van twee jonge kinderen op mezelf, als vrouw van boven de 40, niet goed ingeschat”","Tine Embrechts: I have the impact of two young children on myself, as a woman over 40, not properly assessed."
"“Mama, waar kom ik eigenlijk vandaan?”: wat zeg je als een jong kind zich vragen begint te stellen rond seksualiteit?","""Mama, where do I come from?"" ""What do you say when a young child starts asking questions about sexuality?"""
Evi Hanssen over haar afkeer voor 1 april: “Het is de meest irritante dag van het jaar”,"Evi Hanssen about her disgust for April 1st: ""It's the most annoying day of the year"""
Extra dagen geboorteverlof voor vaders of meemoeders worden meestal opgenomen,Extra days of birth leave for fathers or co-mothers are usually included
"Coely is herboren op haar nieuwe plaat ‘Alive’: “Ik heb heel diep gezeten, maar een stemmetje heeft me nog net gestopt”","Coely has been reborn on her new album ""Alive"": ""I've been very deep, but a little voice just stopped me."""
Zangeres Naima Joris: “Sterker worden van verlies? Dat lijkt bij mij niet van toepassing”,Singer Naima Joris: Getting stronger in loss? That does not seem to apply to me.
Evi Hanssen beleeft de eerste ochtend zonder moeder: “Toen liet de dokter haar inslapen. Ze bleef machtig mooi”,"Evi Hanssen experiences the first morning without a mother: ""Then the doctor put her to sleep."" She remained powerfully beautiful."
Een vrouw geeft na 17 jaar aan haar partner toe dat seks altijd pijn doet: de relatiepraktijk van Rika Ponnet,"After 17 years, a woman admits to her partner that sex always hurts: Rika Ponnet's relationship practice"
De balans | Illustrator Pieter Van Eenoge: 'De winkel van mijn vrouw is mijn venster op de wereld',The balance sheet Illustrator Pieter Van Eenoge: 'My wife's shop is my window on the world'
BEDPRAAT. “Het leek alsof we perfect in elkaar pasten. Ik sloot mijn ogen en genoot”,BEDPRATE. It looked like we were perfect for each other. I closed my eyes and enjoyed
Axel Witsel zal nooit meer Rode Duivel zijn,Axel Witsel will never be Red Devil again
"Rika Ponnet botst met haar dochters: “We zijn vergeten hoeveel plezier er zit in geven, in wachten op de andere”","Rika Ponnet collides with her daughters: We've forgotten how much fun there is in giving, in waiting for the other puppies."
"Wat als met je ex ook je pluskinderen uit je leven verdwijnen? “Jouw gevoelens zijn belangrijk, maar die van het kind nog meer”","What if with your ex-husband, your plus-kids get out of your life, too? Your feelings are important, but the child's feelings are even more important."
BEDPRAAT. “Ik hing boven zijn hoofd en voelde hoe hij mij verorberde”,BEDPRATE. I hung over his head and felt how he devoured me.
Rika Ponnet over de manier waarop we over partnergeweld spreken: “We moeten stoppen met oordelend te kijken naar de relaties van anderen”,"Rika Ponnet about the way we talk about partner violence: ""We must stop looking at others' relationships judgingly."""
Op zoek naar voldoening in de slaapkamer? Gwyneth Paltrow neemt je bij de hand op Goopsex,Looking for satisfaction in the bedroom? Gwyneth Paltrow takes you at hand on Goopsex
Hoe ‘gelukkig’ kan een (bijna) seksloos huwelijk zoals dat van Robbie Williams echt zijn?,How lucky can a (almost) sexless marriage like Robbie Williams really be?
"Je huwelijksgeloften hernieuwen zoals Roel Vanderstukken, wat zeggen experts daarover?","Renew your wedding vows like Roel Vanderpieces, what do experts say about that?"
Waarom er plots overal peer-emoticons opduiken op Instagram,Why all of a sudden peer emoticons pop up on Instagram
"BEDPRAAT. “Ik beet zachtjes op zijn lip, hij liet zijn handen over mij glijden”","BEDPRATE. I bit his lip gently, he slipped his hands over me."
"De eerste keer seks was “wat vreemd”, de week erna haalde hij al een ring boven: Rika Ponnet geeft advies","The first time sex was a bit weird, the next week he picked up a ring: Rika Ponnet gives advice"
Niels Destadsbader is peter van de dochter van zijn ex-vriendin: hoe moeilijk is het om close te blijven na stukgelopen relatie?,Niels Destadsbader is peter of his ex-girlfriend's daughter: how hard is it to stay close after a broken relationship?
"Keanu Reeves krijgt kritiek op kus met open ogen, maar wat betekent het eigenlijk als je je ogen openhoudt tijdens het zoenen?","Keanu Reeves gets criticized for kissing with open eyes, but what does it actually mean if you keep your eyes open while kissing?"
BEDPRAAT. “Hij duwde zijn middel tegen mijn billen en ademde geil in mijn oor. Hij wou me. Onmiddellijk”,"BEDPRATE. He pushed his waist against my buttocks and breathed horny in my ear. He wanted me. Immediately after the entry into force of this Regulation, Member States shall communicate to the Commission the text of the measures provided for in this Regulation."
"Verhalen uit de praktijk van Rika Ponnet: “Ze vierde haar 30ste verjaardag in stilte, want haar leven voelt als verloren tijd”","Stories from Rika Ponnet's practice: ""She celebrated her 30th birthday in silence, for her life feels like lost time"""
"Ongeveer 1 op 5 gaat vreemd, onderzoek legt bloot met wie het vaakst een slippertje begaan wordt","About 1 in 5 cheats, research reveals who is most often involved in a slip."
“Masturbeer ik te veel? Ben ik verslaafd?” Seksuologe Chloé De Bie geeft advies,Am I masturbating too much? Am I addicted?Sexualologist Chloé De Bie gives advice
DE INSIDER. “Romcoms zijn schadelijker dan porno”: hoe gezond zijn relaties in films?,THE INSIDER. Romcoms are more harmful than porn: how healthy are relationships in movies?
BEDPRAAT. “We moesten allebei serieus bekomen. Pas daarna overviel dat gevoel me”,BEDPRAAT. We moesten allebei serieus bekomen. Not daarna overviel dat gevoel me
"De perfecte koppels? Nee, met deze iconische relaties is van alles mis: “In het echte leven zou je contactverbod vragen”","The perfect couples? No, with these iconic relationships everything is wrong: In real life you would ask for a restraining order."
In de praktijk van Rika Ponnet: wanneer dementie een moeder en dochter bij elkaar brengt,In Rika Ponnet's practice: when dementia brings a mother and daughter together
Ook zij zetten hun carrière op een lager pitje voor hun gezin: “Die veelvuldigheid aan rollen is het nieuwe overspel”,They too put their careers on a lower footing for their families:..That variety of roles is the new adultery....................................................................................................................................................................
Kiezer beslist of Vlaanderen tweestromenland wordt,Chooser decides whether Flanders will become a two-way country
"BEDPRAAT. “Hij is ruw, maar zo heb ik het graag. Hij bijt in mijn nek en laat zich op de grond zakken om me te beffen”","BEDPRATE. It's rough, but that's the way I like it. He bites my neck and lowers himself on the ground to eat me."
De perfecte cocktail om op een terrasje schaamteloos mensen te kijken,The perfect cocktail to watch on a terrace shameless people
Vijf recepten voor een rustige buik: darmexperts brengen kookboek uit,Five recipes for a quiet stomach: intestinal experts release cookbook
Jeroen Meus maakt een lokale specialiteit als ode aan zijn moeder,Jeroen Meus makes a local specialty as an ode to his mother
Aperitiefje? Probeer dit eeuwenoude cocktailrecept met melk van bij ons,Aperitif? Try this ancient cocktail recipe with milk from us
Franse gastronomie zwakt af en dat heeft één duidelijke reden,French gastronomy weakens and that has one obvious reason
"Jeroen Meus kookt voor vrienden: meatballs van lam, ciabatta met rund en een veggie burrito","Jeroen Meus cooks for friends: meatballs of lamb, ciabatta with beef and a veggie burrito"
Bij beeldhouwer Henry Moore sluit de abstractie de emotie nooit uit,With sculptor Henry Moore the abstraction never precludes emotion
Hoe kies je het juiste wijnglas? “Vermijd coupes en hippe vormen en gebruik een smetteloze handdoek”,How do you choose the right wine glass? Avoid coupes and hip shapes and use a spotless towel.
Meteen opdrinken of eerst een paar jaar laten rijpen? Wanneer consumeer je wijn het best?,Drink it straightaway or let it mature for a few years first? When is the best time to consume wine?
Centre Pompidou sluit vijf jaar voor renovatiewerken,Centre Pompidou closes five years for renovations
Vertwijfelde kiezers zoeken signaal,Despondent voters looking for signal
Auteur Will Gompertz: 'We worden onnodig geïntimideerd door kunst',Author Will Gompertz: 'We are unnecessarily intimidated by art'
Een fancy bitterzoete cocktail met hét drankje van zomer 2023,A fancy bittersweet cocktail with the drink of summer 2023
In dit Nederlands restaurant slacht je zelf de kip voor je ze opeet,In this Dutch restaurant you slaughter the chicken yourself before you eat them
"Jeroen Meus maakt vergeten groenten: risotto met kervelwortelen, pastinaakstoemp en gemarineerde rode kool","Jeroen Meus makes forgotten vegetables: risotto with kervel roots, parsnips and marinated red cabbage"
"Smoutebollen, de Ronde van Vlaanderen en Jacques Brel in Vlaamse canon","Small bulbs, the Tour of Flanders and Jacques Brel in Flemish canon"
De man die de sterren moet terughalen: Jeffrey Laarberg wordt nieuwe chef-kok in Pure C,The man to retrieve the stars: Jeffrey Laarberg becomes new chef in Pure C
DE INSIDER. Waarom verliest Sergio Herman ineens twee sterren? “Peter Goossens heeft het slimmer aangepakt”,THE INSIDER. Why does Sergio Herman suddenly lose two stars? Peter Goossens has done it smarter.
Dit zijn de lekkerste diepvriesfrieten volgens de beste friturist van Vlaanderen: “Van wie zijn deze? Wablieft?”,"These are the most delicious frozen fries according to the best friturist in Flanders.Who are these from? Wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait. wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait"
Waarom de tomaat zo veel sneller opwarmt dan de rest van je eten,Why the tomato warms up so much faster than the rest of your food
Koppel ruilt Hasseltse tapaszaak voor het echte Spanje: El Sueño zoekt overnemers,Koppel exchanges Hasselt Tapas for the real Spain: El Sueño seeks buyers
Helemaal mee met de trend van het moment: een simpele biercocktail met een gehypete pils,All along with the trend of the moment: a simple beer cocktail with a hyped beer
"Jeroen Meus bereidt je voor op je sportieve prestatie met bananenbrood, noedels met kip en pastasalade met halloumi","Jeroen Meus prepares you for your sporty performance with banana bread, noodles with chicken and pasta salad with halloumi"
Stromae schrapt volledige tournee door gezondheidsproblemen,Stromae deletes full tour due to health problems
"Wij maakten de ‘coronation quiche’, Regula Ysewijn: “Dit, een quiche? Ik denk dat het Paleis chic wilde overkomen ”","We made the quiche coronation, Regula Ysewijn: This, a quiche? I think the Palace was trying to be chic."
Coca-Cola stopt in ons land in alle stilte met bekende frisdrank,Coca-Cola stops in our country in silence with well-known soft drinks
Een lekker frisse muntcocktail die doet dromen van warme dagen,A nice fresh mint cocktail that makes you dream of hot days
Hoe lang kun je paaseieren bewaren?,How long can you keep Easter eggs?
Tien keer Hotel Couture: hoe modeontwerpers de hotelwereld veroveren,Ten times Hotel Couture: how fashion designers conquer the hotel world
De Grand Canyon van bij ons of de meest duurzame stad van Europa: 10 duurzame reisideeën binnen Europa,Our Grand Canyon or Europe's most sustainable city: 10 sustainable travel ideas within Europe
"Langs forten, kastelen en steenbakkerijen: het Scheldeland heeft drie nieuwe fietsroutes","Along forts, castles and stone bakeries: the Scheldeland has three new cycling routes"
Wegdromen mag: dit zijn volgens reizigers de mooiste stranden ter wereld,Dreaming away may be: according to travelers these are the most beautiful beaches in the world
"Disneyland Parijs zet verjaardagsfeest voort: superhelden alom, 500 drones en de terugkeer van een legendarische show","Disneyland Paris continues its birthday party: superheroes everywhere, 500 drones and the return of a legendary show"
Goedkoop op vliegvakantie deze zomer? Wij vergeleken de populairste reissites en zagen één grote winnaar,Cheap flight vacation this summer? We compared the most popular travel sites and saw one great winner
Dit is de vriendelijkste vakantiebestemming ter wereld,This is the most friendly holiday destination in the world
Zin om te ‘set-jetten’? Deze tien locaties ken je van televisie,Do you want to put on some jerseys? You know these ten locations from television.
In het spoor van filmsterren: ‘set-jetting’ is de reistrend van het moment,"In the footsteps of movie stars: """"set-jeting"" is the journey trend of the moment"
Te koop: onzichtbaar huis in de woestijn. Van de prijs begin je alvast te zweten ...,For sale: invisible house in the desert. From the price you start to sweat...
Van de ‘Dirty Dancing’-camping tot het hotel van ‘Glass Onion’: op deze filmlocaties kun jij overnachten,From the Dirty Dancing camping to the hotel of Glass Onion: at these movie locations you can stay the night
Om bij weg te dromen: de mooiste hotelsuites van 2023,To dream away: the most beautiful hotel suites of 2023
Ster uit ‘Emily in Paris’ opent luxueuze bar (en het is niét in Parijs),Star from.. Emily in Paris. opens luxurious bar (and it's not in Paris)
"De huwelijksreis van het jaar: Remco Evenepoel en Oumi trokken naar de paradijselijke Malediven, al is dat geen spek voor ieders bek","The honeymoon of the year: Remco Evenepoel and Oumi went to the paradise Maldives, although that is not bacon for everyone's mouth"
Vliegensvlug naar de sneeuw: dankzij nieuwe verbinding sta je in enkele uren aan de voet van de Italiaanse Alpen,Flying fast to the snow: thanks to new connection you will be at the foot of the Italian Alps in a few hours
Airbnb verhuurt romantische cottage uit kerstklassieker ‘The Holiday’,"Airbnb rents romantic cottage from christmas classic ""The Holiday"""
Kerst onder de zon? Deze bestemmingen zijn nog beschikbaar en zoveel tel je ervoor neer,Christmas under the sun? These destinations are still available and so much you count down
Hier is het al Kerstmis: drie kerstmarkten in onze buurlanden die je moet bezocht hebben,Here it is already Christmas: three Christmas markets in our neighboring countries that you must have visited
Westtoer hield grootschalig onderzoek naar binnenlands dagtoerisme: kust blijkt met voorsprong populairste bestemming,Westtoer conducted large-scale research into domestic day tourism: coast appears to be the most popular destination with a head start
Kust is populairste bestemming voor Belgische dagtoeristen,Coast is the most popular destination for Belgian day tourists
"De pastelkleurige gevels van Porto kennen we, maar Noord-Portugal heeft nog veel meer te bieden","We know the pastel-coloured facades of Porto, but Northern Portugal has much more to offer"
"‘Icon of the seas’, het luxe cruiseship van 365 meter lang mét groot waterpark aan boord","""Icon of the seas', the luxury cruiseship of 365 meters long with large water park on board"
"De Sahara, Machu Picchu en koppensnellers: beelden van wereldreis van Hugo (90) na meer dan 40 jaar weer te bekijken","Sahara, Machu Picchu and headhunters: images of Hugo's world journey (90) after more than 40 years to see again"
Nazomeren in wintersportgebied,Nazomeren in winter sports area
Septemberblues? Laat je inspireren voor je volgende vakantie met deze vijf Belgische reisbloggers,September blues? Get inspired for your next holiday with these five Belgian travel bloggers
Fietser (51) sterft bij aanrijding,Cyclist (51) dies in collision
Anoniem collectief vandaliseert Delhaize-winkels,Anonymous collective vandalizes Delhaize stores
"Overwegend zonnige start, later kans op onweer","Mainly sunny start, later chance of thunderstorm"
Burn-outprof Elke Van Hoof ook wetenschappelijk onder vuur,Burn-outprof Elke Van Hoof also scientifically under attack
Sluiting dreigt voor vzw opgericht na moord op Julie Van Espen,Closure threatens vzw founded after murder of Julie Van Espen
‘Ik was geobsedeerd door de lichamen op Instagram’,I was obsessed with the bodies on Instagram.
"Vergeet Union, de échte Brusselse volksclub speelt in Molenbeek","Vergeet Union, de écte Brusselse volksclub speelt in Molenbeek"
Was Hasseltse redder de ‘bommen­maker van Bagdad’?,Was Hasseltse redder de ‘bommen­maker van Bagdad’?
"Een week in Ninove, vruchtbare grond voor Vlaams Belang: ‘Ik was vroeger geen racist, maar op den duur verander je’","A week in Ninove, fertile land for Flemish Interest:..I used to be no racist, but in the long run you change.........................................................................................................................................."
‘We zijn geen psychologen. We doen wat we kunnen’,We're not psychologists. We're doing what we can.
"Technologie om stikstofuitstoot te reduceren, doet minder dan gedacht","Technologie om stikstofuitstoot te reduceren, doet minder dan gedacht"
Twee personen vechtpartij Zaventem in verdenking gesteld,Two people fighting Zaventem suspected
Gevaarlijkste criminelen kunnen langer opgesloten blijven,Most dangerous criminals can stay locked up longer
Moeder 9-jarige Raul blijft maand langer in de cel en Gustaph was bang voor finale Songfestival,Mother 9 year old Raul stays in prison for months longer and Gustaph was afraid of final Song Festival
Moeder blijft maand langer in de cel: verder onderzoek moet duidelijkheid brengen rond overlijden Raul (9),Mother stays in prison for a month longer: further investigation should shed light on Raul's death (9)
Trein grijpt auto van panikerende dame die vast komt te zitten op overweg,Train grabs car from panicking lady who gets stuck on the road
Leerkracht basisschool in Deinze geschorst nadat hij naaktfoto’s naar leerlingen had gestuurd,Teacher elementary school in Deinze suspended after sending nude photos to students
Iedereen wint als de Maaskant opnieuw natuur wordt,Everyone wins if the Maaskant becomes nature again
Brugs museum heeft vacature voor ... zwarte kat: ‘Basiskennis schattig miauwen is een pluspunt’,Brugs museum has vacancy for... black cat:.Basic knowledge cute meowen is a plus.
Recordaantal niet-begeleide minderjarige vreemdelingen aangekomen in België,Record number of unaccompanied minors arrived in Belgium
‘Ik doe mijn opzegperiode tot de allerlaatste dag. Ik vertrek zonder oprotpremie of uittredingsvergoeding’,I'll do my cancellation period until the very last day. I'm leaving without pay or retirement allowance.
Als de Nip-test vooral raadsels oplevert: ‘De onwetendheid was het ergste’,"If the Nip test results mainly in riddles: ""Ignorance was the worst."
Een op de zes politieke journalisten kreeg voorstel tot omkoping,One in six political journalists received a proposal for bribery.
Waarom de tweedehands elektrische auto nog niet meteen zal doorbreken,Why the second hand electric car won't break right away
"De junkies zullen er niet door verdwijnen, maar ‘safe places’ moeten wel veiligheidsgevoel in Brabantwijk opkrikken","The junkies won't disappear, but they'll have to boost safety in Brabantwijk."
"Kemal Kilicdaroglu, de man die de democratie wil redden","Kemal Kilicdaroglu, the man who wants to save democracy"
Zelenski ontmoet paus bij staatsbezoek aan Italië,Zelenski meets Pope on state visit to Italy
Erdogan belooft vreedzame machtsoverdracht als hij verliest,Erdogan promises peaceful transfer of power if he loses
Grootste houten zeilschip ter wereld aangemeerd in Rotterdam,Largest wooden sailing ship in the world docked in Rotterdam
Live | Oekraïne herovert 1 kilometer lang terrein in Bachmoet,Live Ukraine retakes 1 kilometer long terrain in Bachmoet
Thaise oppositie neemt handschoen op tegen militaire orde,Thai opposition takes up glove against military order
Waarom Rusland het einde van de Tweede Wereldoorlog een dag te laat viert,Why Russia celebrates the end of World War II one day late
Verwarring troef over migratiewet: en dus wagen velen nu de oversteek naar Amerika,Confusion trump card about migration law: and so many are now risking the crossing to America
Te klein stoeltje in cinema? New York verbiedt discriminatie vanwege overgewicht,Too small chair in cinema? New York prohibits overweight discrimination
Robot volgt alligator die rondzwerft in riolering in Florida,Robot volgt alligator the rondzwerft in riolering in Florida
"‘Als Erdogan verliest, zal het Westen ons controleren’","If Erdogan loses, the West will control us."
Oekraïne heeft nu raketten waarmee het de hele Krim kan treffen,Ukraine now has missiles with which it can hit the entire Crimea
"Trump in beroep in misbruik- en smaadzaak, schrijfster E. Jean Carroll overweegt nieuwe zaak","Trump in appeal in abuse and defamation, writer E. Jean Carroll is considering new case"
Offensief Netanyahu in Gaza versterkt zijn coalitie,Offensive Netanyahu in Gaza strengthens his coalition
De Argentijnse Trump leest wel boeken,The Argentine Trump reads books
Macron jent oppositie met vlaggenwet,Macron jent oppositie met vlaggenwet
"Youtuber die crash met vliegtuigje in scène zette, riskeert 20 jaar cel","Youtuber, who staged a plane crash, risks 20 years in jail."
‘Turkije is een mannenland en met Erdogan zal dat zo blijven’,Turkey is a man's country and with Erdogan it will continue to be so.
Europa gaat ChatGPT reguleren,Europe is going to regulate ChatGPT
Taiwan oefent voor de invasie,Taiwan exercises before the invasion
Afhaken presidentskandidaat slecht nieuws voor Erdogan,Aborting presidential candidate bad news for Erdogan
"Tiental hulpverleners gewond bij explosie nabij Düsseldorf, aanslag niet uitgesloten","Ten aid workers injured in explosion near Düsseldorf, attack not excluded"
"Ja, er is een makkelijke manier om de opwarming van de aarde drastisch af te remmen","Yes, there's an easy way to drastically reduce global warming."
Kremlin noemt naamsverandering Kaliningrad een ‘vijandige actie’,Kremlin calls name change Kaliningrad an enemy action.
Beleggen in groene grondstoffen: een recept voor bergen geld?,Investing in green raw materials: a recipe for mountains of money?
Gepensioneerd en u wil bijklussen? Hierop moet u letten,"Retired, and you want to do some extra work? This should be taken into account."
Hoe thuis economisch en ecologisch printen?,How to print economically and ecologically at home?
Groenteabonnement,Vegetable subscription
De bescheidenheid van de Florentijnse barok,The modesty of the Florentine Baroque
Macron blaast Franse industrie nieuw leven in,Macron revitalizes French industry
Hoe groot is giga?,How big is giga?
Tijdig een verzekering opzeggen,Timely withdrawal of insurance
Hoe ver rijdt een elektrische tweedehandswagen?,How far does an electric used car drive?
Vastgoed voor studenten en industrie,Real estate for students and industry
London Stock Exchange vs. Euronext,London Stock Exchange vs. Euronext
Roglic zet Evenepoel bergop onder druk,Roglic's pushing Evenepoel uphill.
‘Relaxen? Moeilijk als je werk zo leuk is’,Relax? Difficult when your work is so funny.
En als we nu eens niet hoefden te groeien,And what if we didn't have to grow?
Twitter bevestigt: Linda Yaccarino is nieuwe CEO,Twitter confirms: Linda Yaccarino is new CEO
"Wellicht heropleving buitenlandse investeringen in België, na afname in 2022","Probably revival of foreign investment in Belgium, after decline in 2022"
Tijger zonder tanden: waarom Europa worstelt met een Chinastrategie,Tiger without teeth: why Europe is struggling with a China strategy
Northvolt kondigt batterijfabrieken aan in Duitsland en Noord-Amerika,Northvolt announces battery plants in Germany and North America
Ex-minister Labille beboet voor verspreiden van voorkennis over postfusie,Former Minister Labille fined for spreading insider information on post-fusion
Van der Straeten concretiseert tweede interconnector tussen België en Duitsland,Van der Straeten concreteises second connector between Belgium and Germany
Recordwinst voor Emirates ondanks dure kerosine,Record profit for Emirates despite expensive kerosene
Rome wil weg uit China’s Belt and Road Initiative,Rome wants out of China's Belt and Road Initiative
Lng-schepen zijn plots niet meer gehaast,LNG vessels are suddenly no longer in a hurry
Waarom de voedingsprijzen hoog blijven,Why food prices remain high
Euronav verwent zijn aandeelhouders,Euronav spoils its shareholders
"Remco Evenepoel met helikopter naar hotel na bergetappe, Wielerunie dreigt met sancties","Remco Evenepoel with helicopter to hotel after mountain stage, cycling union threatens with sanctions"
Kinderen als koopwaar: de jungle van de jeugdtransfers,Children as merchandise: the jungle of youth transfers
"Dat Messi zelfs maar overweegt om in Saudi-Arabië te spelen, zegt veel over wie hij ­geworden is",The fact that Messi is even considering playing in Saudi Arabia says a lot about who he's become.
Siebe Van der Heyden (Union): ‘We werken om meer te verdienen. Ook dat is voetbal’,Siebe Van der Heyden (Union): We work to earn more. That's football too.
‘Ik zie geen reden waarom Evenepoel zondag niet de grote favoriet zou zijn’,I don't see any reason why Evenepoel wouldn't be the big favorite on Sunday.
"Een perfecte ouverture voor Evenepoel, maar wanneer begint de Giro echt?","A perfect overture for Evenepoel, but when does the Giro really start?"
STVV heeft nieuwe trainer,STVV has new trainer
Axel Witsel stopt als Rode Duivel,Axel Witsel stops as a Red Devil
Vroege vluchters krijgen vrije baan,Early escapees get free jobs
"De golfoorlog gaat door: LIV-spelers als Pieters krijgen boete, iconen stappen op","The wave war continues: LIV players like Pieters get fine, icons step on"
"Team van Evenepoel klaar voor eerste bergrit: ‘Ineos zal willen tonen dat ze ballen hebben, maar wij hebben die ook’","Evenepoel Team ready for first mountain ride: Ineos will want to show that they have balls, but we have them as well."
Triatleet Marten Van Riel na zware blessure klaar voor comeback: ‘Vol bewijsdrang na jaar vol frustratie’,Triathlete Marten Van Riel after severe injury ready for comeback:..Full evidence after year full of frustration.........................................................................................................
